step,actic loss,critic loss,average distance,time
10,-435.9835,107.7158,10.4426,0min5sec
20,-365.6867,83.2985,10.4262,0min5sec
30,-217.5953,58.8234,10.4142,0min5sec
40,-169.4671,44.9938,10.3186,0min5sec
50,-133.4929,36.5082,9.9990,0min5sec
60,-111.7530,30.7207,9.6348,0min5sec
70,-175.0632,26.5670,9.3487,0min5sec
80,-184.2144,23.4380,9.1194,0min5sec
90,-174.9880,21.0006,8.9431,0min5sec
100,-167.5947,19.0446,8.7991,0min5sec
110,-161.5110,17.4387,8.6815,0min5sec
120,-156.4081,16.0987,8.5826,0min5sec
130,-52.0913,14.9708,8.5005,0min5sec
140,-48.4517,14.0090,8.4264,0min5sec
150,-45.2023,13.1713,8.3660,0min5sec
160,-42.3922,12.4328,8.3116,0min5sec
170,-39.9252,11.7765,8.2635,0min5sec
180,-37.7238,11.1933,8.2221,0min5sec
190,-35.7641,10.6734,8.1895,0min5sec
200,-34.0016,10.2041,8.1568,0min5sec
210,-32.3933,9.7770,8.1264,0min5sec
220,-30.9310,9.3883,8.0983,0min5sec
230,-29.5925,9.0337,8.0734,0min5sec
240,-28.3605,8.7105,8.0497,0min5sec
250,-27.2630,8.4142,8.0275,0min5sec
260,-26.2136,8.1404,8.0081,0min5sec
270,-25.2441,7.8871,7.9872,0min5sec
280,-24.3512,7.6486,7.9670,0min5sec
290,-23.5131,7.4242,7.9473,0min5sec
300,-22.7338,7.2153,7.9266,0min5sec
310,-21.9987,7.0205,7.9038,0min5sec
320,-21.3229,6.8396,7.8813,0min5sec
330,-20.6881,6.6686,7.8585,0min5sec
340,-20.0781,6.5084,7.8347,0min5sec
350,-19.5044,6.3554,7.8088,0min5sec
360,-18.9597,6.2098,7.7837,0min5sec
370,-18.4586,6.0708,7.7623,0min5sec
380,-17.9777,5.9386,7.7389,0min5sec
390,-17.5173,5.8149,7.7138,0min5sec
400,-17.0814,5.6960,7.6900,0min5sec
410,-16.6780,5.5826,7.6658,0min5sec
420,-16.2910,5.4753,7.6432,0min5sec
430,-15.9039,5.3727,7.6235,0min5sec
440,-15.5462,5.2753,7.6022,0min5sec
450,-15.1969,5.1798,7.5787,0min5sec
460,-14.8816,5.0849,7.5484,0min5sec
470,-14.5686,4.9909,7.5100,0min5sec
480,-14.3007,4.9025,7.4728,0min5sec
490,-14.0072,4.8136,7.4297,0min5sec
500,-13.7339,4.7264,7.3887,0min5sec
510,-13.4721,4.6418,7.3432,0min5sec
520,-13.2224,4.5598,7.2975,0min5sec
530,-12.9775,4.4799,7.2518,0min5sec
540,-12.7423,4.4029,7.2066,0min5sec
550,-12.5152,4.3281,7.1615,0min5sec
560,-12.2964,4.2559,7.1178,0min5sec
570,-12.0846,4.1862,7.0747,0min5sec
580,-11.8818,4.1187,7.0326,0min5sec
590,-11.6853,4.0533,6.9916,0min5sec
600,-11.4926,3.9903,6.9509,0min5sec
610,-11.3039,3.9294,6.9108,0min5sec
620,-11.1230,3.8699,6.8717,0min5sec
630,-10.9488,3.8128,6.8347,0min5sec
640,-10.7808,3.7571,6.7977,0min5sec
650,-10.6180,3.7026,6.7615,0min5sec
660,-10.4601,3.6498,6.7259,0min5sec
670,-10.3073,3.5985,6.6915,0min5sec
680,-10.1580,3.5487,6.6575,0min5sec
690,-10.0137,3.5006,6.6252,0min5sec
700,-9.8721,3.4538,6.5934,0min5sec
710,-9.7347,3.4086,6.5627,0min5sec
720,-9.6013,3.3642,6.5325,0min5sec
730,-9.4717,3.3208,6.5026,0min5sec
740,-9.3457,3.2787,6.4736,0min5sec
750,-9.2235,3.2377,6.4454,0min5sec
760,-9.1041,3.1977,6.4177,0min5sec
770,-8.9866,3.1588,6.3907,0min5sec
780,-8.8752,3.1212,6.3648,0min5sec
790,-8.7645,3.0842,6.3392,0min5sec
800,-8.6560,3.0481,6.3137,0min5sec
810,-8.5515,3.0128,6.2890,0min5sec
820,-8.4472,2.9785,6.2652,0min5sec
830,-8.3474,2.9453,6.2416,0min5sec
840,-8.2497,2.9129,6.2188,0min5sec
850,-8.1534,2.8811,6.1964,0min5sec
860,-8.0609,2.8500,6.1748,0min5sec
870,-7.9699,2.8194,6.1537,0min5sec
880,-7.8809,2.7894,6.1325,0min5sec
890,-7.7940,2.7602,6.1122,0min5sec
900,-7.7095,2.7316,6.0922,0min5sec
910,-7.6254,2.7036,6.0723,0min5sec
920,-7.5439,2.6762,6.0527,0min5sec
930,-7.4638,2.6495,6.0337,0min5sec
940,-7.3856,2.6231,6.0148,0min5sec
950,-7.3090,2.5974,5.9965,0min5sec
960,-7.2343,2.5722,5.9785,0min5sec
970,-7.1602,2.5476,5.9609,0min5sec
980,-7.0887,2.5236,5.9438,0min5sec
990,-7.0183,2.4998,5.9270,0min5sec
1000,-6.9488,2.4767,5.9105,0min5sec
1010,-6.8814,2.4539,5.8942,0min5sec
1020,-6.8140,2.4316,5.8779,0min5sec
1030,-6.7488,2.4097,5.8621,0min5sec
1040,-6.6846,2.3882,5.8468,0min5sec
1050,-6.6225,2.3672,5.8320,0min5sec
1060,-6.5606,2.3466,5.8174,0min5sec
1070,-6.5003,2.3265,5.8030,0min5sec
1080,-6.4422,2.3068,5.7886,0min5sec
1090,-6.3839,2.2873,5.7745,0min5sec
1100,-6.3273,2.2682,5.7606,0min5sec
1110,-6.2713,2.2493,5.7469,0min5sec
1120,-6.2147,2.2311,5.7340,0min5sec
1130,-6.1611,2.2129,5.7208,0min5sec
1140,-6.1079,2.1951,5.7080,0min5sec
1150,-6.0555,2.1776,5.6953,0min5sec
1160,-6.0039,2.1603,5.6829,0min5sec
1170,-5.9537,2.1433,5.6707,0min5sec
1180,-5.9040,2.1266,5.6586,0min5sec
1190,-5.8562,2.1103,5.6468,0min5sec
1200,-5.8071,2.0942,5.6352,0min5sec
1210,-5.7602,2.0784,5.6237,0min5sec
1220,-5.7138,2.0627,5.6122,0min5sec
1230,-5.6682,2.0474,5.6010,0min5sec
1240,-5.6235,2.0323,5.5900,0min5sec
1250,-5.5794,2.0174,5.5791,0min5sec
1260,-5.5359,2.0028,5.5684,0min5sec
